bah (2 files, 3 instances): adverbs, interjections
europe (2 files, 2 instances): nouns, proper-nouns
france (2 files, 2 instances): nouns, proper-nouns
leur (2 files, 2 instances): nouns, pronouns
louvre (2 files, 2 instances): nouns, proper-nouns
meilleur (2 files, 5 instances): adjectives, nouns
même (2 files, 5 instances): adjectives, nouns
merci (2 files, 3 instances): adverbs, interjections
non (2 files, 3 instances): adverbs, interjections
orange (2 files, 5 instances): adjectives, nouns
oui (2 files, 3 instances): adverbs, interjections
savoir (2 files, 3 instances): nouns, verbs
voici (2 files, 3 instances): adverbs, interjections
voilà (2 files, 3 instances): adverbs, interjections
